Story,Area,Code,Definition of Done,Dependencies,Epic,Exit Criteria,Horizon,Legacy Source,Order,Prefix,Priority,Repo Evidence,Source GDD,Spec State,Status,Summary,System Area,Theme,Type,Wave
"Formalize initiative as opening readiness and route the real behavioral differences through post-initiative consequence logic driven by fear, bonds, vows, and pressure.",Economy / Support,V2-COMBAT-001,"Initiative uses readiness semantics; directives do not directly rewrite turn order; tests cover guard, rescue, hesitation, refusal, and target-choice consequences.","V2-DIRECTIVE-001, V2-EMOTION-001, V2-BOND-002, V2-VOW-002",Stage Influence Layer,Combat behavior expresses V2 pressure without exploding the initiative layer.,Foundation,COMBAT-008,210,COMBAT,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/combat/http://CombatState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/actors/http://ActorStateMachine.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowEncounterState.gd,Echoes vNext Working GDD V2: initiative is readiness to act under pressure for all actor types.,Locked,Ready,"Keep initiative simple and deterministic, then let pressure systems shape what happens after order is set.",ECONOMY / EMOTION / COMBAT,Combat,Rewrite,Foundation
"Promote bonds from roster flavor to consequence logic so bonded Echoes protect, grieve, hesitate, and recover differently in combat and aftermath.",Sanctum,V2-BOND-002,Bond changes are visible after runs; bonded danger changes action choice or aftermath; rivalry can seed later Sanctum incident hooks.,"V2-BOND-001, V2-EMOTION-001, V2-SANCTUM-001",Echo Consequence Layer,Players can feel that who is connected to whom changes what people do under pressure.,Foundation,BOND-002,170,BOND,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/sanctum/http://SocialGraphService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowEchoPartyState.gd,"Echoes vNext Working GDD V2: bonds should feed wholeness, risk, refusal, and house consequence.",Mostly Locked,Ready,Make relationship state matter to play outcomes instead of staying mostly decorative.,SANCTUM / BOND / VOW / VOICE,Bonds,New,Foundation
Replace the starter directive surface with Scout Carefully and Seek Signs so early Realm intent matches the V2 foundation cutline.,Realm / Tactical,V2-DIRECTIVE-001,"Both directives are selectable in the current flow, persist through stage context, and produce materially different scouting and survival behavior.",None,Stage Influence Layer,The player can choose a V2-correct opening stance and see distinct run outcomes from that choice.,Alignment,"DIRECTIVE-001, DIRECTIVE-002, DIRECTIVE-003",110,DIRECTIVE,P0,/Users/jeffreygyamfi/Sites/echoes-vnext/core/directives/http://DirectiveService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/http://FlowStateMachine.gd,Echoes vNext Working GDD V2: directive foundation uses Scout Carefully and Seek Signs as the opening pair.,Locked,Ready,Reframe early directive choice around the two locked V2 stances without adding a second directive architecture.,DIRECTIVE / INTEL / STAGE,Directives,Rewrite,Alignment
"Reframe early economy cadence so awakening, first summons, stage payouts, withdrawal, and offline Ase recovery match the V2 opening loop.",Economy / Support,V2-ECONOMY-001,First-session cadence feels viable; offline Ase starts only after awakening; failed or partial runs still return meaningful value; surfaces use V2 framing.,None,Economy Cadence,The opening loop has pressure without dead time or fiction drift.,Alignment,"ECONOMY-001, ECONOMY-004, ECONOMY-005",200,ECONOMY,P0,/Users/jeffreygyamfi/Sites/echoes-vnext/core/economy/http://EconomyService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSummonState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,Echoes vNext Working GDD V2: offline Ase accrual should read as Ase Flame / Sanctum recovery and the opening cadence should stay tense without stalling.,Mostly Locked,Ready,Tune the existing economy rail into V2 fiction and pacing before larger system expansion.,ECONOMY / EMOTION / COMBAT,Economy,Rewrite,Alignment
"Add mythic recognition scaffolding as a fallible multi-step pipeline so Echo, house, and event state can start feeding later recognition moments without hardcoded instant revelation.",Narrative / Content,V2-CONTINUITY-002,Recognition state can advance through partial and uncertain stages; save and snapshot layers can persist that state; no instant all-or-nothing reveal shortcut is required.,"V2-PROG-010, V2-CONTINUITY-001, V2-SANCTUM-004",House Growth Seed,Recognition can be authored later on top of stable fallible-state scaffolding.,Foundation,SANCTUM-009,350,CONTINUITY,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSanctumState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/echoes/http://ShoutBank.gd,Echoes vNext Working GDD V2: mythic recognition is multi-step and fallible.,Mostly Locked,Draft,This lays the runtime backbone for later recognition content without pretending the full narrative layer exists yet.,SANCTUM / BOND / VOW / VOICE,Continuity,New,Foundation
Implement the Standing-6 and provisional Standing-9 lattice data model so later progression can promote from the six foundational callings without reopening V2 naming rules.,Echo Progression,V2-PROG-008,"Data definitions exist for Standing-6 and provisional Standing-9 forms, with naming hooks and adjacency validation; no player-facing promotion flow is required yet.",V2-PROG-007,Calling Lattice Bridge,The repo has a stable progression topology beyond Standing-3.,Foundation,PROG-008,270,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/progression/http://CallingService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/http://calling-reference.md,"Echoes vNext Working GDD V2: Standing-3 / 6 / 9 lattice, Standing-6 names, and provisional Standing-9 naming rules are locked.",Locked,Ready,Add the canonical higher-standing lattice now so future progression work does not invent structure on the fly.,PROG,Callings,New,Foundation
"Implement Sanctum pulse as a real house-state runtime layer so incidents, recovery, routines, and institution behavior can share one living-condition backbone.",Sanctum,V2-SANCTUM-004,"Save and snapshot layers expose pulse state; incidents, recovery, and institution hooks can read or affect it; player-facing Sanctum surfaces can show pulse shifts.","V2-SANCTUM-001, V2-CONTINUITY-001",House Growth Seed,The house has a legible living condition model that other systems can depend on.,Foundation,SANCTUM-006,340,SANCTUM,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSanctumState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,Echoes vNext Working GDD V2: Sanctum pulse is part of the locked progression spine.,Locked,Ready,"Pulse should become the shared house-state model, not just a UI flourish on return.",SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Foundation
"Add a stage NPC and contact framework so stages can contain neutral, ritual, threatened, and informative actors instead of only enemies and props.",Realm / Tactical,V2-STAGE-003,Stage instances can contain non-enemy contacts with role tags and persistence hooks; generation and save schemas support them; reveal state can expose them progressively.,"V2-STAGE-002, V2-INTEL-001",Stage Influence Layer,"Realm play can include people and contacts, not just threats.",Foundation,INTEL-002,310,STAGE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/realms/http://RealmModel.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowEncounterState.gd,"Echoes vNext Working GDD V2: stage, enemy, and NPC framework are part of the locked foundation.",Mostly Locked,Ready,Introduce non-enemy stage actors so intel and objectives have people or presences attached to them.,DIRECTIVE / INTEL / STAGE,Stages,New,Foundation
"Make scouting and failed-run intel carry a sacrifice ripple so information gained under pressure can feed later house, emotion, and roster consequences.",Realm / Tactical,V2-INTEL-002,Scouting and failed runs can attach explicit consequence markers to retained intel; those markers are visible on return and persist into follow-up play.,"V2-INTEL-001, V2-SANCTUM-001",Stage Influence Layer,"Useful information can still come home, but not without felt cost.",Foundation,DIRECTIVE-004,320,INTEL,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/directives/http://DirectiveService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSanctumState.gd,"Echoes vNext Working GDD V2: scouting should reveal things, but often through cost, sacrifice, or downstream fallout.",Mostly Locked,Ready,"Intel should arrive with price signals, not as free detached knowledge.",DIRECTIVE / INTEL / STAGE,Intel,New,Foundation
"Push skill families beyond metadata by making prep, loadout, and growth surfaces reason about Ward, Break, Veil, Path, Rite, and Root as first-class runtime families.",Echo Progression,V2-PROG-009,Prep and loadout surfaces can group and filter by family; growth data can reference family progression; validator coverage includes family assignment rules.,V2-PROG-005,Calling and Skill Bridge,The skill system can actually express the V2 family model in play.,Foundation,PROG-009,280,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/progression/http://SkillDefinition.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowStageMapState.gd,"Echoes vNext Working GDD V2: skills are organized by family, not isolated per-calling trees.",Locked,Superseded,Superseded duplicate of V2-PROG-009. Canonical card: 339c3d1e-de92-814f-9e7a-cbc13e09cb57.,PROG,Skill Families,Rewrite,Foundation
"Integrate the hidden maturity-expression layer into runtime decision hooks so refusal, composure, readiness, and interpretation stop depending on explicit smartness-era framing.",Echo Progression,V2-PROG-010,"Behavior and presentation hooks use maturity-expression outputs instead of smartness tiers; snapshots and tests cover refusal, composure, and interpretation effects.","V2-PROG-006, V2-EMOTION-001",Person-Shaping Readability,Personhood expression is driven by V2 state rather than legacy competence labels.,Foundation,PROG-010,290,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/actors/http://SmartnessTierService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/actors/behaviors/http://BehaviorArbiter.gd,Echoes vNext Working GDD V2: hidden maturity-expression replaces the old smartness framing.,Mostly Locked,Ready,Replace the old AI-competence read with V2 person-shaping behavior hooks.,PROG,Implementation Alignment,Rewrite,Foundation
"Rewrite stage content generation around the V2 objective taxonomy so stages can support recover, retrieve, protect, endure, pursue, and similar structures beyond combat-first templates.",Realm / Tactical,V2-STAGE-002,Stage generation supports a defined set of V2 objective types with distinct reveal and completion rules; tests cover at least one generated example per objective type.,V2-STAGE-001,Stage Influence Layer,Stages stop collapsing into a single combat-biased template.,Foundation,STAGE-002,300,STAGE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/realms/http://RealmGenerator.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowStageMapState.gd,Echoes vNext Working GDD V2: stages should support a broader objective framework than generic combat or shrine completion.,Mostly Locked,Ready,Objective taxonomy is the missing structural step between hidden stages and real V2 Realm play.,DIRECTIVE / INTEL / STAGE,Stages,Rewrite,Foundation
Add the calling adjacency ring and family metadata as canonical runtime data so later Standing-6 and Standing-9 progression can resolve against locked V2 structure instead of ad hoc config.,Echo Progression,V2-PROG-007,Calling config stores families and adjacency relationships; validators cover the ring; runtime can query neighbors and family membership deterministically.,V2-PROG-004,Calling Lattice Bridge,Standing growth can rely on canonical calling topology instead of hand-authored exceptions.,Foundation,PROG-007,260,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/progression/http://CallingService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/data/balance.json,Echoes vNext Working GDD V2: calling families and adjacency ring are locked backbone decisions.,Locked,Ready,Move calling structure out of loose flavor framing and into runtime-usable canonical data.,PROG,Callings,New,Foundation
"Introduce non-combat encounter roles so stage runtime can resolve omen, contact, obstacle, and ritual pressure states without forcing every node into enemy combat.",Realm / Tactical,V2-STAGE-004,"Encounter runtime supports at least one non-combat resolution path for omen, contact, obstacle, and ritual roles; state transitions remain deterministic.","V2-STAGE-002, V2-STAGE-003",Stage Influence Layer,Not every stage beat has to resolve as a combat scene.,Foundation,COMBAT-009,330,STAGE,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowEncounterState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/combat/http://CombatState.gd,Echoes vNext Working GDD V2: stage framework should support more than combat encounters.,Mostly Locked,Draft,This is the runtime layer that lets the broader objective and NPC framework actually show up in play.,DIRECTIVE / INTEL / STAGE,Stages,New,Foundation
"Convert offline Ase into explicit Ase Flame and Sanctum charge recovery rules so accrual timing, recovery gates, and house-state dependence match V2 fiction and runtime behavior.",Economy / Support,V2-ECONOMY-002,Offline recovery depends on Flame awakening and house condition; player-facing surfaces use Ase Flame or charge language; recovery tests cover locked and unlocked states.,"V2-ECONOMY-001, V2-SANCTUM-004",Economy Cadence,"Offline resource recovery behaves like V2 recovery, not legacy idle income with renamed labels.",Foundation,"ECONOMY-002, ECONOMY-003",360,ECONOMY,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/economy/http://EconomyAccrualService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/economy/http://EconomyService.gd,Echoes vNext Working GDD V2: offline Ase accrual is now Ase Flame / Sanctum charge recovery.,Locked,Ready,Finish the economy reframe by turning the fiction change into actual runtime rules and gates.,ECONOMY / EMOTION / COMBAT,Economy,Rewrite,Foundation
"Add a stage NPC and contact framework so runs can contain neutral, friendly, ritual, or omen-bearing actors instead of only enemies and passive structures.",Realm / Tactical,V2-STAGE-003,"Stage runtime can represent non-enemy contacts with state, reveal rules, and encounter hooks; save data persists them cleanly; UI can distinguish them from enemies.","V2-STAGE-001, V2-INTEL-001",Stage Influence Layer,"The stage layer can host people and presences, not just threats.",Foundation,None,236,STAGE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/realms/http://RealmGenerator.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowStageState.gd,Echoes vNext Working GDD V2: stage/enemy/NPC framework is foundational and should survive lock-on-entry persistence.,Mostly Locked,Ready,Create the actor category seam needed for non-enemy stage presence before content expands.,DIRECTIVE / INTEL / STAGE,Stages,New,Foundation
"Expand the encounter framework so stages can resolve enemies, structures, NPC contacts, and noncombat pressure states under one persistent stage model.",Realm / Tactical,V2-STAGE-004,"Encounter state supports at least combat, contact, structure, and pressure-only resolutions with consistent persistence and logging.","V2-STAGE-002, V2-STAGE-003",Stage Influence Layer,The venture flow can host varied stage events without bolting every new mode onto combat.,Foundation,"COMBAT-007, REALM-004",237,STAGE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowEncounterState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/combat/http://CombatState.gd,Echoes vNext Working GDD V2: stage framework should support more than combat encounters and remain persistent inside the stage spine.,Mostly Locked,Ready,Generalize encounter resolution before later content creates one-off exceptions everywhere.,DIRECTIVE / INTEL / STAGE,Stages,New,Foundation
"Seed mythic recognition as a multi-step, fallible progression scaffold so later recognition content can attach to real runtime state instead of bespoke event scripts.",Echo Progression,V2-PROG-011,"Runtime can store recognition stages, confidence, and failed or partial recognition outcomes; snapshots can surface this without implying final resolution.","V2-PROG-004, V2-CONTINUITY-001, V2-PROG-010",Person-Shaping Readability,Recognition has a real systems spine instead of future ad hoc scripting.,Foundation,None,241,PROG,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/core/progression/http://CallingService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowEchoPartyState.gd,"Echoes vNext Working GDD V2: mythic recognition is multi-step and fallible, not a single clean promotion event.",Mostly Locked,Draft,Define the scaffold now even if the content depth lands later.,PROG,Callings,New,Foundation
Implement the locked calling adjacency ring as runtime data so foundational calling recognition and later progression can reason about valid neighboring paths instead of ad hoc compatibility rules.,Echo Progression,V2-PROG-008,Calling config exposes adjacency metadata; runtime queries can ask for neighboring callings deterministically; validation covers broken or asymmetric links.,"V2-PROG-004, V2-PROG-007",Calling Lattice Bridge,The repo no longer relies on loose compatibility math where the ring should be authoritative.,Foundation,PROG-007,232,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/progression/http://CallingService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/http://calling-reference.md,Echoes vNext Working GDD V2: calling adjacency ring is locked backbone and should anchor lattice progression.,Locked,Ready,"Turn the ring into runtime truth so calling drift, previews, and upgrades all share one canonical path structure.",PROG,Callings,New,Foundation
"Add scouting sacrifice and failed-run ripple rules so scouting, withdrawal, and defeat can trade safety for knowledge and feed real house consequence instead of feeling like soft resets.",Realm / Tactical,V2-INTEL-002,"Scouting and failed-run outcomes can yield retained discoveries plus explicit cost in morale, fear, damage, time, or house fallout; return flow surfaces the trade.","V2-INTEL-001, V2-SANCTUM-001",Stage Influence Layer,Players can deliberately scout or withdraw for information without the game collapsing into free retries.,Foundation,"INTEL-001, DIRECTIVE-003",238,INTEL,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/directives/http://DirectiveService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowEncounterState.gd,"Echoes vNext Working GDD V2: failed runs and scouting should remain useful, but with meaningful cost and fallout.",Mostly Locked,Ready,"Make information gain and survival trade against each other in a visible, persistent way.",DIRECTIVE / INTEL / STAGE,Intel,New,Foundation
Turn offline Ase accrual into a stricter Ase Flame and Sanctum charge recovery model so passive recovery follows V2 fiction and house condition instead of only elapsed time.,Economy / Support,V2-ECONOMY-002,"Offline recovery reads as Flame or charge restoration, is gated by awakening and house state, and remains deterministic and save-safe.","V2-ECONOMY-001, V2-SANCTUM-004",Economy Cadence,Passive economy behavior matches V2 fiction instead of old economy shorthand.,Foundation,ECONOMY-004,242,ECONOMY,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/economy/http://EconomyAccrualService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/economy/http://EconomyService.gd,"Echoes vNext Working GDD V2: offline Ase accrual is accepted as Ase Flame / Sanctum charge recovery, not generic passive income.",Locked,Ready,Make passive recovery depend on the awakened Flame and the state of the house.,ECONOMY / EMOTION / COMBAT,Economy,Rewrite,Foundation
"Extend the skill-family bridge from metadata into runtime preparation and growth seams so Ward, Break, Veil, Path, Rite, and Root can shape progression without rebuilding combat all at once.",Echo Progression,V2-PROG-009,Preparation and progression surfaces can group and query skills by family; runtime can distinguish family growth hooks; current combat loadout remains compatible.,"V2-PROG-005, V2-PROG-008",Calling and Skill Bridge,"Skill families are a real systems seam, not just documentation metadata.",Foundation,PROG-009,233,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/progression/http://SkillDefinition.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowStageMapState.gd,Echoes vNext Working GDD V2: skill families are foundational and should replace isolated per-calling trees.,Locked,Ready,"Move from family labels to actual runtime grouping, slotting, and milestone hooks.",PROG,Skill Families,Rewrite,Foundation
Define explicit objective and stage-pressure semantics across every production combat mode so autonomous actors respond to authored objectives instead of generic skirmish pressure.,Economy / Support,V2-COMBAT-002,"All current production modes—COMBAT, PURIFY_SHRINE, RECOVER, PROTECT, ENDURE, PURSUE, and GUIDE_SPIRIT—publish explicit stage/objective pressure semantics, enemy roles, urgency/custody/route signals, and reason-bearing fixtures without changing each mode's win/loss authority.","V2-STAGE-002, V2-STAGE-004, V2-COMBAT-001",Stage Influence Layer,Every current production combat objective drives distinct enemy and Echo pressure inputs; encounter behavior no longer falls back to generic skirmish targeting.,Foundation,"COMBAT-003, COMBAT-007",243,COMBAT,P1,docs/[combat-modes.md](http://combat-modes.md); core/combat/[CombatState.gd](http://CombatState.gd); core/actors/[ActorStateMachine.gd](http://ActorStateMachine.gd); prototypes/keeper_tactical_guidance/[SPEC.md](http://SPEC.md); prototypes/keeper_tactical_guidance/[FINDINGS.md](http://FINDINGS.md); docs/proposals/[keeper-tactical-guidance-promotion.md](http://keeper-tactical-guidance-promotion.md); docs/proposals/[keeper-tactical-guidance-architecture.md](http://keeper-tactical-guidance-architecture.md),"Echoes vNext Working GDD V2.5 sections 7.3, 11.5, 20.17, and 22.5: objective pressure must be readable input to autonomous Echo judgment and Foundation guidance across the production combat family.",Mostly Locked,Ready,"Give every production objective a deterministic, readable pressure contract that enemy roles and Echo judgment can consume.",ECONOMY / EMOTION / COMBAT,Combat,New,Foundation
"Rewrite the stage objective taxonomy so stages can support recover, retrieve, protect, endure, pursue, and other V2 objective shapes beyond the old combat-shrine bias.",Realm / Tactical,V2-STAGE-002,Stage generation and state can represent multiple objective archetypes with distinct success conditions and reveal hooks; objective state remains persistent and save-safe.,V2-STAGE-001,Stage Influence Layer,Stage content is no longer structurally trapped in combat-first objective patterns.,Foundation,"REALM-003, STAGE-002",235,STAGE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/realms/http://RealmGenerator.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowEncounterState.gd,"Echoes vNext Working GDD V2: stage framework should support varied objective structures, not just generic combat resolution.",Mostly Locked,Ready,Broaden the objective grammar before content work hardens around the current narrow loop.,DIRECTIVE / INTEL / STAGE,Stages,New,Foundation
"Integrate the hidden maturity-expression layer into runtime behavior, refusal, composure, and interpretation so the smartness-tier replacement affects play instead of staying a naming change.",Echo Progression,V2-PROG-010,"Runtime can derive refusal, composure, and interpretive voice hooks from maturity-expression state; old smartness-tier assumptions are removed from player-facing logic.","V2-PROG-006, V2-EMOTION-001",Person-Shaping Readability,The replacement layer materially changes behavior and reading of Echoes.,Foundation,"PROG-010, VOICE-001",234,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/actors/http://SmartnessTierService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/actors/behaviors/http://BehaviorArbiter.gd,Echoes vNext Working GDD V2: hidden maturity-expression replaces old smartness framing and should shape interpretation and conduct.,Mostly Locked,Ready,Make maturity-expression a live simulation factor rather than a silent replacement term.,PROG,Emotion,Rewrite,Foundation
"Implement Sanctum pulse as a runtime layer that tracks the living condition of the house and feeds consequence, warnings, and institution readiness beyond the immediate return panel.",Sanctum,V2-SANCTUM-004,"Sanctum state stores pulse values or bands, updates them from run and social consequence, and exposes warnings/readiness hooks to UI and institution systems.","V2-SANCTUM-001, V2-CONTINUITY-001",House Growth Seed,The house has a persistent condition model that future systems can read.,Foundation,"SANCTUM-004, SANCTUM-005",239,SANCTUM,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSanctumState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,Echoes vNext Working GDD V2: Sanctum pulse model is locked backbone and Continuity uses it as the progression spine.,Locked,Superseded,Superseded duplicate of Sanctum pulse runtime. Canonical card: 339c3d1e-de92-810e-bcb4-c71776d816a5.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Foundation
"Add Standing-6 and provisional Standing-9 lattice data, naming hooks, and validation rules so higher-order calling progression can be implemented without reopening the locked V2 structure later.",Echo Progression,V2-PROG-007,"Config and validation support Standing-6 names, Standing-9 placeholders, adjacency references, and naming-rule checks without requiring full content implementation.","V2-PROG-004, V2-MIG-002",Calling Lattice Bridge,Higher-order calling progression has a canonical data seam in the repo and backlog.,Foundation,None,231,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/progression/http://CallingService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/data/balance.json,"Echoes vNext Working GDD V2: Standing 3 / 6 / 9 lattice, Standing-6 names, and provisional Standing-9 naming rules are locked backbone.",Locked,Ready,Define the data contract now so later implementation does not drift when progression deepens past foundational callings.,PROG,Callings,New,Foundation
"Add inventory circulation rules for recycling, upgrades, and rite offerings so anti-hoarding pressure comes from structure and meaningful decisions rather than decay or silent storage bloat.",Economy / Support,V2-ITEM-004,"Backlog and data contracts explicitly reserve seams for recycling, upgrades, and rite offerings; shared inventory can track the states those flows need; exact values or cap tuning can remain open.","V2-ITEM-001, V2-ECONOMY-002, V2-WEAVE-002",Inventory and Loadout,The inventory foundation already knows how excess gear should circulate back into the economy and rites later.,Foundation,None,247,ECONOMY,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/core/economy/http://EconomyService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 sections 19.6 and 19.7: anti-hoarding should come from inventory structure, recycling should usually return Ekwan, and items can be offered into rites.",Open,Draft,Preserve the missing inventory-pressure knowledge now so the first inventory implementation does not ossify into a hoarding system with no circulation sinks.,ECONOMY / EMOTION / COMBAT,Economy,New,Foundation
Rewrite stage item and relic discovery so stages can yield meaningful gear or relic rewards into the shared house inventory without reviving the old post-MVP item-drop assumptions wholesale.,Realm / Tactical,V2-ITEM-002,Persistent stage resolution can award item or relic results deterministically; resolve and Sanctum surfaces show what was found; discovered items flow into shared inventory instead of ad hoc reward fields.,"V2-ITEM-001, V2-STAGE-002, V2-STAGE-004",Inventory and Loadout,Stage rewards can include V2-aligned gear and relic outcomes without inventing a separate item pipeline later.,Foundation,"ITEM-001, REALM-005",245,STAGE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowEncounterState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/venture/http://ResolveScreen.gd,"Echoes vNext Working GDD V2 sections 19.5 and 19.9: items should come from stage and Realm rewards among other sources, with relics mostly found rather than mass-crafted.",Mostly Locked,Ready,"Carry forward the old discovery idea, but align it to V2 cadence, rarity restraint, and shared-inventory handling.",DIRECTIVE / INTEL / STAGE,Stages,Rewrite,Foundation
"Establish a shared house inventory and restrained cap-pressure model so items circulate across the Sanctum without turning Threads, partial recoveries, or Echo identity into generic inventory clutter.",Economy / Support,V2-ITEM-001,"Save and snapshot contracts support a shared inventory list, transferability, and cap-pressure hooks; player-facing surfaces distinguish items from Thread reserve and Realm recovery state; implementation leaves room for tuning exact cap values later.","V2-MIG-002, V2-SANCTUM-001, V2-ECONOMY-001",Inventory and Loadout,The game has a real inventory seam that preserves V2 distinctions instead of absorbing every reward into one bucket.,Foundation,ITEM-001,244,SANCTUM,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/save/http://SaveSchema.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/save/http://SaveService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,"Echoes vNext Working GDD V2 sections 14.2, 19.5, 19.7, and 21.1: partial recoveries are not inventory items; anti-hoarding should come from structure and circulation; early inventory pressure matters.",Open,Ready,"Create the core inventory substrate as a shared house resource with cap-pressure hooks, while explicitly excluding Realm recovery fragments and Threads-in-progress from normal item storage.",ECONOMY / EMOTION / COMBAT,Economy,New,Foundation
"Implement a restrained Echo equipment and loadout model around weapon, charm, armor or clothes, and relic or consumable so item play sharpens expression without turning into a paper-doll puzzle.",Echo Progression,V2-ITEM-003,Echo loadout data supports the four-slot model or a clear reduced foundation subset; equipment assignment is save-safe; prep and party surfaces can assign and display loadouts; runtime can query loadout influence without hard-locking calling fit.,"V2-ITEM-001, V2-ITEM-002, V2-PROG-009",Inventory and Loadout,Items can shape Echo expression and readiness without forcing a heavy equipment sim.,Foundation,ITEM-002,246,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/progression/http://SkillDefinition.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/actors/behaviors/http://BehaviorArbiter.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowEchoPartyState.gd,"Echoes vNext Working GDD V2 sections 19.3 and 19.4: restrained slot model is weapon, charm, armor or clothes, and relic or consumable; item fit should be soft and expressive.",Mostly Locked,Ready,Rewrite the old equipment-slot story against the V2 loadout philosophy so gear changes action profile and expression more than raw power.,PROG,Skill Families,Rewrite,Foundation
